providerName,contactInfo,address,region,province,city,remarks,providerCode
CUNANAN MEDICAL SERVICES INCORPORATED (A.K.A. HEALTH SCREEN LABORATORY AND DIAGNOSTIC CENTER),CONTACT NOS: TEL. #: 8-477-4313; CP: 0917-700-0599,"2/F 3 ASUNCION ST. MORNING BREEZE BARANGAY 83, CALOOCAN CITY",NCR,METRO MANILA,CALOOCAN,,14114
"MEDCARE DIAGNOSTIC CENTER AND MULTI-SPECIALTY CLINIC, INC.",TEL.#: 8-363-8696; 8-442-7388 EMAIL: maricris_manuzon@yahoo.com,"400 EDSA 86 ZONE 8, CALOOCAN CITY, METRO MANILA",NCR,METRO MANILA,CALOOCAN,,11433
NEPHROLOGY CENTER CALOOCAN,TEL.#: 8-361-8283; 8-361-8484 EMAIL: nephro_caloocan@yahoo.com,"522 EDSA, BRGY. BIGLANG AWA, CALOOCAN CITY",NCR,METRO MANILA,CALOOCAN,,11059
"MAKATI LIFE NURTURE MEDICAL CENTER, INC. (LIFE NURTURE, INCORPORATED)","TEL.#: (02) 8-888-2020 CP.:  (0947) 990-7362, (0917) 658-5433","MALUGAY ST. BEL-AIR 1209, MAKATI CITY",NCR,METRO MANILA,MAKATI,,13976
"MYHEALTHWAY CLINIC AND LABORATORY CORP. (FORMERLY: ST. PATRICK'S HEALTH CARE SYSTEM, INC.)",Tel.# 8-533-9740-47 CP# 0917-8388840 EMAIL: myhealthywayclinic@gmail.com,566 SHAW BLVD. MANDALUYONG CITY,NCR,METRO MANILA,MANDALUYONG,,13075
GLOBAL MULTI-SPECIALTY HEALTH & WELLNESS CLINIC - PACO,TEL.#: 8-935-7288 CP: 0933-494-7595; 0923-520-9244 EMAIL: gmhw_paco@yahoo.com; gmdhealthcare@yahoo.com.ph; glynn.gmdhealthcare@yahoo.com,"1656 ANGEL LINAO ST., PACO, MANILA",NCR,METRO MANILA,MANILA,,11362
"MARITIME REHABILITATION & PHYSICAL THERAPY CENTER THE PHILIPPINES, INC. (FORMERLY: HELPING ARMS MEDICAL SERVICES, INC.)",Tel#: 3-498-1553; CP: (0933)511-4252; Email: maritime_rehabilitation@yahoo.com,"#1724 PWU INTERNATIONAL HOUSE LEON GUINTO ST. MALATE, MANILA",NCR,METRO MANILA,MANILA,,11762
HEALTHLINE MEDICAL HEALTH SERVICES,"TEL. #: (02) 8 289-9129, CP: (0917) 522-0601","1125 MARIA OROSA STREET, BRGY. 670 ERMITA, MANILA 1000",NCR,METRO MANILA,MANILA,,13839
"HEMOTEK RENAL CENTER, INC- MALATE",Tel #: (02) 8-398-0686 / 8-251-5895 CP: 0999-3687907,"463 REMEDIOS STREET, MALATE, MANILA",NCR,METRO MANILA,MANILA,,11571
"SUNRISE MEDICAL LAB, INC. (FORMERLY: HI-PRECISION DIAGNOSTICS INTERNATIONAL)",TEL. NO: (02)8- 405-0039; 8-405-0135 Mobile No:  (0933) 815-0532; (0943) 135-1861; (0917) 847-1513; Mobile no: RT-PCR (0917) 847-5713; (0917) 847-1513   E-mail Address: hptaft@hi-precision.com.ph,"1852 TAFT AVE., MALATE, MANILA ",NCR,METRO MANILA,MANILA,,12621
"HEALTHMAX MEDICAL AND DIAGNSOTIC CENTER OPC (FORMERLY: INTERNATIONAL HEALTH AIDE DIAGNOSTIC SERVICES, INC.)","Tel.#:  (02) 7-257-0682, CP: (0933) 821-4213","796 QUIRINO AVE., MALATE, MANILA",NCR,METRO MANILA,MANILA,,10974
MEDHAUS MULTI-SPECIALTY & DIAGNOSTIC CLINIC,TEL.# 8-255-7821 CP: 0927-624-9929 EMAIL: rowena_young2000@yahoo.com; tondomedhaus@yahoo.com,"719 BULACAN ST. GAGALANGIN TONDO, MANILA",NCR,METRO MANILA,MANILA,,10738
"ST. PETER-PAUL MEDICAL CLINIC, INC.-MANILA","TEL.#: 8-536-4650, 8-525-1608, 8-526-7468 FAX: 8-523-0331 EMAIL: SPPMCIACCOUNTING@YAHOO.COM","1182 GREY ST., ERMITA, MANILA",NCR,METRO MANILA,MANILA,,11149
"YGEIA MEDICAL CENTER, INC.",CP: (0917) 108-2771,"2081 PRESIDENT QUIRINO AVE., PANDACAN, MANILA",NCR,METRO MANILA,MANILA,,11126
GLOBAL HEALTH INDUSTRIAL CLINIC & LABORATORY CO,Tel.#: 8-862-3212; 0923-7401020,"235 NATIONAL ROAD, BAYANAN, MUNTINLUPA CITY",NCR,METRO MANILA,MUNTINLUPA,,12473
"ARDI HEALTH SERVICES, INC.- MALINAO (FORMERLY: DR. PABLO C. ALFONSO, SR. MEMORIAL CLINIC - MALINAO)",TEL.#: 7719-2213; 7719-2218TELEFAX: 628-3316 CP: 0917-883-8268; 0932-602-2900 EMAIL: alfonsoclinic@yahoo.com,"157 R. JABSON ST., MALINAO, PASIG CITY",NCR,METRO MANILA,PASIG,,10414
IMMACULATE CONCEPTION  LYING IN & MULTI SPECIALTY CLINIC INC.,"Tel.#: 8-330-0805, 8-641-4939 CP: 09292707197 EMAIL: iclcinc2007@yahoo.com / mildreddelrosario07301970@gmail.com","223 DR. PILAPIL ST. SAN MIGUEL, PASIG CITY",NCR,METRO MANILA,PASIG,,11045
ROQUE DIAGNOSTIC CENTER,TELEFAX: 8-628-3866 EMAIL: roquediagnostic@yahoo.com,"144 M. ALMEDA ST., PATEROS",NCR,METRO MANILA,PATEROS,,11357
"A.T, CASTILLO SKIN & AESTHETICS CENTER",Tel. #:8-912-7141 CP: 0927-947-2407,"#85 STANFORD ST., CUBAO, QUEZON CITY",NCR,METRO MANILA,QUEZON CITY,,11543
CHRISTIAN MEDICAL CLINIC INC,TEL. #: 7-901-5090; 7-759-7116 CP: (0925) 898-9231 EMAIL: christianmed.inc23@yahoo.com,"22-B MADISON ST., NEW MANILA QUEZON CITY",NCR,METRO MANILA,QUEZON CITY,,12443
"CLEARBRIDGE MEDICAL PHILIPPINES, INC.",TEL.#: 8-282-5227 (RECEP.); 8-282-5208 (ADMIN) WEBSITE: www.clearbridgemedical.com.ph EMAIL: dialysis@clearbridgemedical.com.ph,"33 V. LUNA ROAD PINYAHAN, QUEZON CITY",NCR,METRO MANILA,QUEZON CITY,,12809
"HEART AND LUNG DIAGNOSTIC CLINIC, INC.",TEL#: 8-927-5628;8-9215899; CP: 0917-109-6892; HMO: (0917) 632-8365 ; Email: hldclaboratory@gmail.com,"112 KALAYAAN AVENUE, DILIMAN, QUEZON CITY",NCR,METRO MANILA,QUEZON CITY,,"
10514"
