providerName,contactInfo,address,region,province,city,remarks,providerCode
SPECIALIST CLINIC & DIAGNOSTIC LABORATORY-COTABATO BRANCH,TEL.#: (064) 557-2204,"2F MARKET BUILDING CORNER DON ROMAN BILO ST., DON RUFINO ST. COTABATO CITY, MAGUINDANAO",ARMM,MAGUINDANAO,COTABATO CITY,,11893
SPECIALIST CLINIC & DIAGNOSTIC LABORATORY-PARANG MAGUINDANAO BRANCH,TEL.#: (064) 425-0143,"LANGKA ST. TOWNSITE POBLACION 1, PARANG MAGUINDANAO",ARMM,MAGUINDANAO,COTABATO CITY,,11896
ABSOLUTE CARE MEDICAL CLINIC & LABORATORY,TEL.# 074-309-3914/ 0929-7895267/ 0920-9517964/ 0922-8734880,"BSU ALUMNI CENTER, KM 5, LA TRINIDAD, BENGUET",CAR,BENGUET,LA TRINIDAD,,10743
ACARE MED CORPORATION (LABLIFE SPECIALTY CLINICS AND LABORATORY),TEL.#  (074) 619-1736; CP.#: 0948-0644142,"4A01 & 02 4TH FLOOR PORTA  VAGA ANNEX BLDG.  SESSION ROAD, BAGUIO CITY",CAR,BENGUET,BAGUIO,,13025
BAGUIO PAIN MANAGEMENT & REHABILITATION CENTER,TEL.#: (074)424-0424 CP: 0917-124-9487,"#81 GAMBOA BLDG., DIEGO SILANG ST. BAGUIO CITY",CAR,BENGUET,BAGUIO,,12525
BENGUET LABORATORIES,TEL.#: 074-620-5828 CP: 0947-342-3661 EMAIL: benguetlabinfo@yahoo.com.ph,"4A & B01 SM BAGUIO CYBERZONE BUILDING UPPER HARRISON ROAD, BAGUIO CITY",CAR,BENGUET,BAGUIO,,10787
BENGUET LABORATORIES-BAGUIO CENTER MALL BRANCH,TEL.#: (074)442-4528 CP: 0916-292-6299 EMAIL: bcli.cm@yahoo.com,"BAGUIO CENTERMALL L4 MAGSAYSAY AVE., BAGUIO CITY",CAR,BENGUET,BAGUIO,,12554
"CORDILLERA INTEGRATED MEDICAL SERVICES, INC.",TEL.#: 444-7693 CP: 0956-294-6035 EMAIL: cimsi1998@yahoo.com,"ST. LOUIS UNIVERSITY HOSPITAL THE SACRED HEART ASSUMPTION ROAD EXT., BAGUIO CITY, BENGUET",CAR,BENGUET,BAGUIO,,"
11027"
"FAMILY POLYCLINIC & LABORATORY, INC.",TEL.#: (074)442-5299 CP: 0948-719-2133 EMAIL: fplisession@gmail.com,"RM. 12-12 LAPERAL BLDG. SESSION ROAD, BAGUIO CITY",CAR,BENGUET,BAGUIO,,10083
"GREAT FAITH MEDICAL, PHARMACY & DIAGNOSTIC CENTER, INC.",TEL#. #: (074) 422-4842; CP: 0917-764-2734 EMAIL: gfmpdcinc@gmail.com,"2/F 204-205 JC 055 VC ARCADIAN BLDG., KM.5 PICO, LA TRINIDAD , BENGUET",CAR,BENGUET,LA TRINIDAD,,11176
KONSULTA MEDICA AND DIAGNOSTIC CENTER CORPORATION,TEL.#: (074) 309-4383 CP: 0977-337-4510 EMAIL: konsultamed88@gmail.com,"RT-35,4TH FLOOR MAHARLIKA LIVELIHOOD COMPLEX BAGUIO CITY",CAR,BENGUET,BAGUIO,,12734
MT. SINAI CARDIAC LABORATORIES BENGUET INC.,"TEL.#: (074) 424-6965,CP: (0928) 345-4691","2ND FLOOR PNN BLDG. SESSION ROAD, BAGUIO CITY",CAR,BENGUET,BAGUIO,,13550
NORTHCROSS LABORATORIES,"TEL.#: (074)442-4609; CP: (0917)934-0185, (0932)874-0186","#7 DAGOHOY ST., 2/F RILLERA BLDG., BAGUIO CITY, BENGUET",CAR,BENGUET,BAGUIO,,11677
"NORTH STAR MEDICAL, INC. - BAGUIO (HI-PRECISION DIAGNOSTICS-BAGUIO BRANCH)",TEL:074-423-2358/ 074-423-2359 CP: 0933-8193880 ; 0917-7085057,"2ND FLOOR CYA CENTRUM MILITARY CUT OFF EXTN. KENNON ROAD, BAGUIO CITY, BENGUET, 2600, CORDILLERA ADMINISTRATIVE REGION",CAR,BENGUET,BAGUIO,,11174
OLYMPIAN MEDICAL AND DIAGNOSTIC CENTER INC.,"TEL. #:  (074) 665-2095 ; CP: (0927) 045-8710, (0961) 981-6101 EMAIL: OLYMPIANMDC@GMAIL.COM","2F NO. 5 OLYMPIAN LANE UPPER MABINI ST. KABAYANIHAN 2600 BAGUIO CITY, BENGUET",CAR,BENGUET,BAGUIO,,13795
ONEALPHA LABORATORIES,TEL.#: (74) 661-2225 074 CP: 0909-4335958  EMAIL: onealphalaboratoriesinc@gmail.com,"GF RM. 20 MEGATOWER RESIDENCES, SANDICO ST. COR. TECSON ST. SALUD MITRA, BAGUIO CITY",CAR,BENGUET,BAGUIO,,11772
